song,bass tuba,french horn,trombone,trumpet,accordion,contrabass,violin,viola,cello,bassoon,clarinet,flute,oboe,alto saxophone
BTb-ord-F4-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D4-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D4-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F4-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C#2-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D#2-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D#4-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D4-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C3-mf-N-T28u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D2-ff-N-T13u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F#3-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D3-ff-N-T15u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-E4-mf-N-T11d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A1-mf-N-T33u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G3-ff-N-T14u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A#2-mf-N-T29u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D#3-ff-N-T17u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A1-ff-N-T19d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D#2-pp-N-T11u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A#3-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-B2-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F#2-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-B3-ff-N-T18d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F4-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-B2-mf-N-T17u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F2-ff-N-T15u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C#3-mf-N-T25u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A2-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-B3-pp-N-T14d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-E3-mf-N-T23u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A#3-pp-N-T13d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G2-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C4-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F#2-pp-N-T14u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-B3-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A2-mf-N-T29u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D#3-mf-N-T25u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G2-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-E2-ff-N-T10u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F2-pp-N-T25u_R100u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-B1-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F#1-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A2-pp-N-T15u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G#1-mf-N-T18u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C#2-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G1-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A#3-mf-N-T14u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G#2-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F2-mf-N-T24u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D#2-mf-N-T34u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C3-ff-N-T18u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G#3-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-E3-ff-N-T16u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D#4-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D2-pp-N-T18u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
